,Weekly rank,Title,Country,Director,Distributor,Screens (week),Gross revenue (week),Tickets (week),Screens (all-time),Gross revenue (all-time),Tickets (all-time),Days since premiere,Week,Weekly drop (revenue)
568,9,Adeus Índia,NOS Lusomundo Audiovisuais,Gurinder Chadha,"GB, IN",16,24757.11,4559,27,58612.86,10841,14,29,-0.26874725858975435
569,10,O Portal do Guerreiro,NOS Lusomundo Audiovisuais,Matthias Hoene,"FR, CN, KH",20,14406.01,2828,20,14406.01,2828,7,29,
570,11,Paterson,Leopardo Filmes,Jim Jarmusch,"US, FR, DE",12,13143.84,2510,20,53116.78,10380,21,29,-0.23466992118355112
571,12,Manhattan Nocturne,Films4you,Brian DeCubellis,US,15,12907.21,2466,15,12907.21,2466,7,29,
572,13,Mulher-Maravilha,NOS Lusomundo Audiovisuais,Patty Jenkins,US,24,11418.03,2174,283,876711.039999988,161507,49,29,-0.5759559720305483
573,14,Girls Night,Big Picture 2 Films,Lucia Aniello,US,11,10419.52,2087,116,237347.89,46186,35,29,-0.5579157099046717
574,15,Paris Pode Esperar,NOS Lusomundo Audiovisuais,Eleanor Coppola,"US, JP",10,8861.74,1662,29,59186.31,11207,21,29,-0.5501508678454529
575,16,A Vida em Espera,NOS Lusomundo Audiovisuais,Robin Swicord,US,9,8143.67,1516,15,27376.42,5131,14,29,-0.5765727730043806
576,17,The Bleeder,NOS Lusomundo Audiovisuais,Philippe Falardeau,US,16,7763.04,1507,16,7763.04,1507,7,29,
577,18,Um Jogo de Honra,NOS Lusomundo Audiovisuais,Jason Connery,"US, GB",13,6743.94999999999,1268,13,6743.94999999999,1268,7,29,
578,19,Violação de Confidencialidade,Outsider Films,Thomas Kruithof,"FR, BE",6,6629.38,1269,6,6629.38,1269,7,29,
579,20,Amor Acima de Tudo,NOS Lusomundo Audiovisuais,Stella Meghie,US,6,6321.41,1368,55,93859.2299999999,18255,35,29,-0.2523934040799336
580,1,Baywatch: Marés Vivas,NOS Lusomundo Audiovisuais,Seth Gordon,US,74,491146.970000001,96561,74,491146.970000001,96561,7,30,
581,2,Carros 3,NOS Lusomundo Audiovisuais,Brian Fee,US,131,478360.110000001,97962,131,478360.110000001,97962,7,30,
582,3,Dunkirk,NOS Lusomundo Audiovisuais,Christopher Nolan,"US, FR, NL, GB",92,372433.090000002,62744,92,372433.090000002,62744,7,30,
583,4,Gru - O Maldisposto 3,NOS Lusomundo Audiovisuais,"Pierre Coffin, Kyle Balda",US,93,270084.050000001,56013,266,2222375.79999999,454983,28,30,-0.39145149530166146
584,5,Planeta dos Macacos: A Guerra,Big Picture 2 Films,Matt Reeves,US,82,178545.35,34292,166,517582.610000002,97169,14,30,-0.468920353141023
585,6,Homem-Aranha: Regresso a Casa,Big Picture 2 Films,Jon Watts,US,73,142775.04,27679,209,975321.669999986,179198,21,30,-0.4758847780132689
586,7,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,NOS Lusomundo Audiovisuais,"Joachim Rønning, Espen Sandberg",US,28,39010.47,7482,356,2195120.84999997,403765,63,30,-0.4372302134921745
587,8,A Múmia,NOS Lusomundo Audiovisuais,Alex Kurtzman,US,23,28348.68,5478,299,1183157.73999998,217523,49,30,-0.5868140465862255
588,9,Overdrive - Os Profissionais,NOS Lusomundo Audiovisuais,Antonio Negret,"US, FR",23,19202.92,3783,107,262182.7,51434,28,30,-0.6503715420949647
589,10,Capitão Cuecas - O Filme,Big Picture 2 Films,David Soren,US,28,18399.98,3801,224,854535.639999981,172259,56,30,-0.4195362847000955
590,11,Lady Macbeth,Alambique,William Oldroyd,GB,9,17741.98,3354,10,17826.73,3620,7,30,
591,12,Transformers: O Último Cavaleiro,NOS Lusomundo Audiovisuais,Michael Bay,US,23,17323.52,3499,288,624861.989999999,111244,35,30,-0.48295007184101024
592,13,Adeus Índia,NOS Lusomundo Audiovisuais,Gurinder Chadha,"GB, IN",11,16748.79,3108,35,75361.6499999999,13949,21,30,-0.3234755591424039
593,14,Debaixo do Mesmo Teto,NOS Lusomundo Audiovisuais,Dominique Farrugia,FR,9,12283.24,2413,9,12283.24,2413,7,30,
594,15,Paterson,Leopardo Filmes,Jim Jarmusch,"US, FR, DE",8,8367.31,1528,23,61743.39,11963,28,30,-0.3634044541016933
595,16,Manhattan Nocturne,Films4you,Brian DeCubellis,US,11,7611.51,1464,23,20518.72,3930,14,30,-0.4102900626858941
596,17,Valerian e a Cidade dos Mil Planetas,NOS Lusomundo Audiovisuais,Luc Besson,"US, FR",15,6515.67,789,16,6577.97,800,0,30,
597,18,Mulher-Maravilha,NOS Lusomundo Audiovisuais,Patty Jenkins,US,10,4612.88,896,288,881414.099999988,162421,56,30,-0.5960003608328233
598,19,Girls Night,Big Picture 2 Films,Lucia Aniello,US,3,3968.45,807,117,241316.34,46993,42,30,-0.6191331270538374
599,20,O Portal do Guerreiro,NOS Lusomundo Audiovisuais,Matthias Hoene,"FR, CN, KH",19,3901.62,765,34,18307.63,3593,14,30,-0.7291672017442721
600,1,Baywatch: Marés Vivas,NOS Lusomundo Audiovisuais,Seth Gordon,US,78,355120.79,70222,113,852320.449999996,167950,14,31,-0.2769561624293453
601,2,Carros 3,NOS Lusomundo Audiovisuais,Brian Fee,US,116,287222.36,59412,177,775888.949999996,159279,14,31,-0.39956874748607407
602,3,Valerian e a Cidade dos Mil Planetas,NOS Lusomundo Audiovisuais,Luc Besson,"US, FR",95,279301.420000001,48893,101,285879.390000001,49693,7,31,41.866108934307746
603,4,Dunkirk,NOS Lusomundo Audiovisuais,Christopher Nolan,"US, FR, NL, GB",73,253919.89,44195,138,632045.94,108052,14,31,-0.3182134004258358
604,5,Gru - O Maldisposto 3,NOS Lusomundo Audiovisuais,"Pierre Coffin, Kyle Balda",US,81,211235.09,44036,289,2438168.82,500276,35,31,-0.21789128236191946
605,6,Planeta dos Macacos: A Guerra,Big Picture 2 Films,Matt Reeves,US,69,100941.98,19423,202,622081.39,117237,21,31,-0.43464234716838046
606,7,Olha Que Duas,Big Picture 2 Films,Jonathan Levine,US,49,73635.95,14557,49,73635.9499999999,14557,7,31,
607,8,Homem-Aranha: Regresso a Casa,Big Picture 2 Films,Jon Watts,US,61,68601.9399999999,13800,247,1045744.60999998,193324,28,31,-0.5195102729440672
608,9,"Tal Pai, Tal Mãe 2",Cinemundo,Martin Bourboulon,"FR, BE",26,15045.2,2871,26,15045.2,2871,7,31,
609,10,Capitão Cuecas - O Filme,Big Picture 2 Films,David Soren,US,22,13637.22,2821,230,868610.099999979,175161,63,31,-0.25884593352818863
610,11,Lady Macbeth,Alambique,William Oldroyd,GB,9,13223.94,2477,11,31619.67,6197,14,31,-0.25465252469002886
611,12,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,NOS Lusomundo Audiovisuais,"Joachim Rønning, Espen Sandberg",US,12,12550.17,2462,360,2208605.82999997,406460,70,31,-0.6782871367609773
612,13,Adeus Índia,NOS Lusomundo Audiovisuais,Gurinder Chadha,"GB, IN",7,11474.86,2105,39,88162.4499999998,16301,28,31,-0.3148842393987864
613,14,A Múmia,NOS Lusomundo Audiovisuais,Alex Kurtzman,US,8,10282.43,2078,304,1193843.68999998,219698,56,31,-0.6372871682208836
614,15,A História do Amor,NOS Lusomundo Audiovisuais,Jonathan Levine,US,10,9398.91999999999,1829,10,9398.92,1829,7,31,
615,16,Pedras Sombrias,NOS Lusomundo Audiovisuais,Eric D. Howell,"US, IT",8,8014.75,1629,8,8014.75,1629,7,31,
616,17,Paterson,Leopardo Filmes,Jim Jarmusch,"US, FR, DE",6,7481.08,1343,26,69224.47,13306,35,31,-0.10591576026225868
617,18,Pesadelo em Férias,NOS Lusomundo Audiovisuais,Phil Volken,"US, PR",5,6235.21,1208,5,6235.21,1208,7,31,
618,19,Debaixo do Mesmo Teto,NOS Lusomundo Audiovisuais,Dominique Farrugia,FR,7,5845.11,1168,16,18128.35,3581,14,31,-0.5241393964458889
619,20,Exército de Um Homem Só,Pris Audiovisuais,Larry Charles,US,11,5625.26,1111,11,5625.26,1111,7,31,
620,1,Baby Driver - Alta Velocidade,Big Picture 2 Films,Edgar Wright,"US, GB",53,260670.68,49128,53,260670.68,49128,7,32,
621,2,Baywatch: Marés Vivas,NOS Lusomundo Audiovisuais,Seth Gordon,US,66,237330.14,46642,140,1101947.43999999,216973,21,32,-0.3316917885883278
622,3,Carros 3,NOS Lusomundo Audiovisuais,Brian Fee,US,97,197184.52,40868,210,984069.279999992,202365,21,32,-0.3134778225483559
623,4,Gru - O Maldisposto 3,NOS Lusomundo Audiovisuais,"Pierre Coffin, Kyle Balda",US,73,177154.22,36312,306,2624075.41000003,538435,42,32,-0.16134094955530354
624,5,Dunkirk,NOS Lusomundo Audiovisuais,Christopher Nolan,"US, FR, NL, GB",71,152362.51,26458,167,795846.479999999,136322,21,32,-0.39995834906828287
625,6,Valerian e a Cidade dos Mil Planetas,NOS Lusomundo Audiovisuais,Luc Besson,"US, FR",80,151921.57,28737,154,447382.010000003,80205,14,32,-0.45606588752753396
626,7,De Braços Abertos,NOS Lusomundo Audiovisuais,Philippe de Chauveron,"FR, BE",35,116070.56,21877,35,116070.56,21877,7,32,
627,8,Assalto ao Shopping,Cinemundo,Alain Desrochers,US,26,43071.8,8364,26,43071.8,8364,7,32,
628,9,Planeta dos Macacos: A Guerra,Big Picture 2 Films,Matt Reeves,US,42,39116.96,7556,223,665146.289999997,125535,28,32,-0.6124807537953981
629,10,Homem-Aranha: Regresso a Casa,Big Picture 2 Films,Jon Watts,US,43,36804.24,7193,265,1084850.93999998,200966,35,32,-0.46351021560031613
630,11,Olha Que Duas,Big Picture 2 Films,Jonathan Levine,US,45,35323.07,6966,89,112491.67,22198,14,32,-0.5203012930504733
631,12,2:22 - Hora Fatídica,Pris Audiovisuais,Paul Currie,"US, AU",22,33384.81,6503,22,33384.81,6503,7,32,
632,13,Capitão Cuecas - O Filme,Big Picture 2 Films,David Soren,US,22,11166.2,2344,238,879974.299999978,177565,70,32,-0.18119675417717096
633,14,Lady Macbeth,Alambique,William Oldroyd,GB,9,9119.06,1693,17,40738.73,7890,21,32,-0.31041278166718855
634,15,A Fabulosa Gilly Hopkins,Outsider Films,Stephen Herek,US,14,8717.86999999999,1670,14,8717.86999999999,1670,7,32,
635,16,Adeus Índia,NOS Lusomundo Audiovisuais,Gurinder Chadha,"GB, IN",8,7704.75,1387,42,96186.8799999997,17752,35,32,-0.32855389956827363
636,17,Paterson,Leopardo Filmes,Jim Jarmusch,"US, FR, DE",5,5884.45,1072,28,75108.92,14378,42,32,-0.2134223935581494
637,18,"Tal Pai, Tal Mãe 2",Cinemundo,Martin Bourboulon,"FR, BE",26,5411.95,1023,42,20781.7000000001,3956,14,32,-0.6402872676999973
638,19,A História do Amor,NOS Lusomundo Audiovisuais,Jonathan Levine,US,10,3386.83,648,19,13187.05,2549,14,32,-0.639657535121056
639,20,Pedras Sombrias,NOS Lusomundo Audiovisuais,Eric D. Howell,"US, IT",9,3386.33,673,17,11653.24,2353,14,32,-0.5774877569481269
640,1,Emoji: O Filme,Big Picture 2 Films,Tony Leondis,US,91,518768.330000002,104930,91,518768.330000002,104930,7,33,
641,2,Annabelle 2: A Criação do Mal,NOS Lusomundo Audiovisuais,David F. Sandberg,US,72,362131.650000001,66223,72,362131.650000001,66223,7,33,
642,3,Atomic Blonde - Agente Especial,NOS Lusomundo Audiovisuais,David Leitch,"US, DE, SE",93,201580.14,37409,93,201580.140000001,37409,7,33,
643,4,Baby Driver - Alta Velocidade,Big Picture 2 Films,Edgar Wright,"US, GB",62,183630.25,35412,108,448003.480000002,85277,14,33,-0.29554697137399566
644,5,Baywatch: Marés Vivas,NOS Lusomundo Audiovisuais,Seth Gordon,US,62,166403.13,32065,172,1273020.42999998,250094,28,33,-0.29885378233038584
645,6,Carros 3,NOS Lusomundo Audiovisuais,Brian Fee,US,81,103756.14,21475,250,1093339.66999999,224946,28,33,-0.47381194020707096
646,7,De Braços Abertos,NOS Lusomundo Audiovisuais,Philippe de Chauveron,"FR, BE",34,96895.39,18252,60,213892.62,40289,14,33,-0.16520270083990285
647,8,Gru - O Maldisposto 3,NOS Lusomundo Audiovisuais,"Pierre Coffin, Kyle Balda",US,59,91000.24,18788,317,2719913.75000006,558187,49,33,-0.4863219177053756
648,9,Valerian e a Cidade dos Mil Planetas,NOS Lusomundo Audiovisuais,Luc Besson,"US, FR",60,82510.93,15503,195,532881.850000003,96257,21,33,-0.4568846938588116
649,10,Dunkirk,NOS Lusomundo Audiovisuais,Christopher Nolan,"US, FR, NL, GB",47,79234.4899999999,14829,194,879635.999999997,151974,28,33,-0.4799607199960154
650,11,Assalto ao Shopping,Cinemundo,Alain Desrochers,US,26,22834.49,4431,44,66156.62,12843,14,33,-0.4698505750862513
651,12,Planeta dos Macacos: A Guerra,Big Picture 2 Films,Matt Reeves,US,22,19347.99,3746,238,686301.519999995,129619,35,33,-0.5053810418805551
652,13,2:22 - Hora Fatídica,Pris Audiovisuais,Paul Currie,"US, AU",22,17407.71,3349,39,50991.09,9889,14,33,-0.478573938267134
653,14,Homem-Aranha: Regresso a Casa,Big Picture 2 Films,Jon Watts,US,22,16773.32,3253,276,1102680.02999998,204434,42,33,-0.5442557705307867
654,15,Olha Que Duas,Big Picture 2 Films,Jonathan Levine,US,22,8055.31,1564,105,120843.179999999,23817,21,33,-0.7719532871859666
655,16,Adeus Índia,NOS Lusomundo Audiovisuais,Gurinder Chadha,"GB, IN",4,6889.12,1226,44,104393.399999999,19198,42,33,-0.10586067036568347
656,17,Lady Macbeth,Alambique,William Oldroyd,GB,4,5385.5,981,19,46124.23,8871,28,33,-0.40942377832802934
657,18,A vida de uma mulher,Alambique,Stéphane Brizé,"FR, BE",4,4981.9,985,4,4981.9,985,7,33,
658,19,Capitão Cuecas - O Filme,Big Picture 2 Films,David Soren,US,17,4574.61,971,240,884930.859999977,178614,77,33,-0.5903163117264603
659,20,Clash,Midas Filmes,Mohamed Diab,"FR, EG",6,4386.7,911,6,4386.7,911,7,33,
660,1,Emoji: O Filme,Big Picture 2 Films,Tony Leondis,US,79,350536.5,71377,108,870476.23,176526,14,34,-0.32429086409342167
661,2,Annabelle 2: A Criação do Mal,NOS Lusomundo Audiovisuais,David F. Sandberg,US,67,227767.58,43649,108,589899.23,109872,14,34,-0.3710365277379115
662,3,A Torre Negra,Big Picture 2 Films,Nikolaj Arcel,US,70,211307.5,38889,70,211307.5,38889,7,34,
663,4,Baby Driver - Alta Velocidade,Big Picture 2 Films,Edgar Wright,"US, GB",50,130670.01,25331,126,578673.49,110608,21,34,-0.28840694820161716
664,5,Atomic Blonde - Agente Especial,NOS Lusomundo Audiovisuais,David Leitch,"US, DE, SE",78,108373.76,20287,149,310985.65,57924,14,34,-0.46237878394171184
665,6,Baywatch: Marés Vivas,NOS Lusomundo Audiovisuais,Seth Gordon,US,54,103087.87,19836,191,1376472.2,270002,35,34,-0.38049320346318005
666,7,De Braços Abertos,NOS Lusomundo Audiovisuais,Philippe de Chauveron,"FR, BE",28,70107.92,13219,74,284070.54,53522,21,34,-0.27645763126604894
667,8,Gru - O Maldisposto 3,NOS Lusomundo Audiovisuais,"Pierre Coffin, Kyle Balda",US,43,57170.48,11846,326,2777543.8,570127,56,34,-0.37175462394384895
668,9,Carros 3,NOS Lusomundo Audiovisuais,Brian Fee,US,58,49910.16,10468,267,1143539.93,235470,35,34,-0.5189666847668002
669,10,Wind River,NOS Lusomundo Audiovisuais,Taylor Sheridan,"US, CA, GB",24,48824.85,9308,24,48824.85,9308,7,34,
670,11,Dunkirk,NOS Lusomundo Audiovisuais,Christopher Nolan,"US, FR, NL, GB",34,43376.81,8152,212,923080.31,160136,35,34,-0.452551407852817
671,12,Valerian e a Cidade dos Mil Planetas,NOS Lusomundo Audiovisuais,Luc Besson,"US, FR",41,39426.13,7430,215,572552.88,103734,28,34,-0.5221708202779922
672,13,Hampstead: Nunca é Tarde Para Amar,NOS Lusomundo Audiovisuais,Joel Hopkins,GB,11,20546.56,3946,11,20546.56,3946,7,34,
673,14,Dois é Demais... ou Talvez Não!,Outsider Films,Stéphane Robelin,"FR, DE, BE",13,14855.1,2875,13,14855.1,2875,7,34,
674,15,Planeta dos Macacos: A Guerra,Big Picture 2 Films,Matt Reeves,US,15,10213.54,2020,248,696515.06,131639,42,34,-0.472113640745111
675,16,Homem-Aranha: Regresso a Casa,Big Picture 2 Films,Jon Watts,US,15,7390.32,1501,285,1110440.0,206044,49,34,-0.559400285691801
676,17,Assalto ao Shopping,Cinemundo,Alain Desrochers,US,15,7007.94,1377,51,73164.56,14220,21,34,-0.6930984663988555
677,18,2:22 - Hora Fatídica,Pris Audiovisuais,Paul Currie,"US, AU",11,4766.95,936,47,55828.14,10839,21,34,-0.7261586963477678
678,19,Capitão Cuecas - O Filme,Big Picture 2 Films,David Soren,US,13,4445.37,955,242,889388.73,179572,84,34,-0.02825158866001687
679,20,Que Loucura de Noite!,Cinemundo,Gavin Wiesen,US,4,4372.4,850,4,4372.4,850,7,34,
680,1,O Guarda-Costas e o Assassino,NOS Lusomundo Audiovisuais,Patrick Hughes,"US, NL, BG, CN",91,464626.550000001,88254,91,464626.550000001,88254,7,35,
681,2,Emoji: O Filme,Big Picture 2 Films,Tony Leondis,US,74,308424.92,62572,135,1183961.39999999,240113,21,35,-0.12013465074250473
682,3,Annabelle 2: A Criação do Mal,NOS Lusomundo Audiovisuais,David F. Sandberg,US,55,179505.29,34052,129,769911.62,144022,21,35,-0.21189271098195794
683,4,A Torre Negra,Big Picture 2 Films,Nikolaj Arcel,US,70,144689.38,27599,127,360314.280000001,67310,14,35,-0.3152662352259148
684,5,Um Voo em Grande,NOS Lusomundo Audiovisuais,"Toby Genkel, Reza Memari","US, DE, BE, LU, NO",53,116097.01,24383,53,116097.01,24383,7,35,
685,6,Baby Driver - Alta Velocidade,Big Picture 2 Films,Edgar Wright,"US, GB",46,104053.72,20099,159,684576.110000001,131087,28,35,-0.20369088515413747
686,7,Baywatch: Marés Vivas,NOS Lusomundo Audiovisuais,Seth Gordon,US,44,70685.61,13624,215,1448558.90999997,283921,42,35,-0.3143169026578976
687,8,De Braços Abertos,NOS Lusomundo Audiovisuais,Philippe de Chauveron,"FR, BE",23,55270.67,10342,84,339341.210000002,63864,28,35,-0.21163443445476626
688,9,Atomic Blonde - Agente Especial,NOS Lusomundo Audiovisuais,David Leitch,"US, DE, SE",61,47802.6199999999,8361,193,361341.570000003,66790,21,35,-0.5589096475013886
689,10,Carros 3,NOS Lusomundo Audiovisuais,Brian Fee,US,46,44923.81,9453,281,1191085.43999999,245479,42,35,-0.09990651202079903
690,11,Gru - O Maldisposto 3,NOS Lusomundo Audiovisuais,"Pierre Coffin, Kyle Balda",US,32,43234.64,9001,335,2822116.34000011,579482,63,35,-0.2437593667221266
691,12,Alibi.com,NOS Lusomundo Audiovisuais,Philippe Lacheau,FR,24,35889.34,6863,24,35889.34,6863,7,35,
692,13,Dunkirk,NOS Lusomundo Audiovisuais,Christopher Nolan,"US, FR, NL, GB",20,25817.02,4814,220,949435.529999994,165071,42,35,-0.40481976429340927
693,14,Wind River,NOS Lusomundo Audiovisuais,Taylor Sheridan,"US, CA, GB",13,19416.87,3716,33,66919.7199999999,12823,14,35,-0.6023158289272779
694,15,Valerian e a Cidade dos Mil Planetas,NOS Lusomundo Audiovisuais,Luc Besson,"US, FR",25,17186.89,3225,225,589856.769999998,106982,35,35,-0.5640736232544254
695,16,Como Cães Selvagens,Films4you,Paul Schrader,US,16,12862.32,2506,16,12862.32,2506,7,35,
696,17,Hampstead: Nunca é Tarde Para Amar,NOS Lusomundo Audiovisuais,Joel Hopkins,GB,10,12031.41,2296,16,32706.17,6264,14,35,-0.4144319049028159
697,18,Mean Dreams: Sonhos Perdidos,NOS Lusomundo Audiovisuais,Nathan Morlando,CA,7,7749.26,1550,7,7749.26,1550,7,35,
698,19,Dois é Demais... ou Talvez Não!,Outsider Films,Stéphane Robelin,"FR, DE, BE",12,7304.49,1415,21,22235.49,4303,14,35,-0.508284023668639
699,20,Adeus Índia,NOS Lusomundo Audiovisuais,Gurinder Chadha,"GB, IN",3,4052.44,703,48,112581.209999999,20623,56,35,-0.41176231507072014
700,1,Barry Seal: Traficante Americano,NOS Lusomundo Audiovisuais,Doug Liman,US,80,291004.450000001,55092,80,291004.450000001,55092,7,36,
701,2,O Guarda-Costas e o Assassino,NOS Lusomundo Audiovisuais,Patrick Hughes,"US, NL, BG, CN",82,224697.4,41630,145,693625.459999996,130704,14,36,-0.5163913900314144
702,3,Emoji: O Filme,Big Picture 2 Films,Tony Leondis,US,70,161960.8,32102,166,1350050.75999999,272998,28,36,-0.4748777109190788
703,4,Annabelle 2: A Criação do Mal,NOS Lusomundo Audiovisuais,David F. Sandberg,US,49,115391.13,21228,150,886820.57,165525,28,36,-0.3571714237502416
704,5,Dia de Surf 2,Pris Audiovisuais,Henry Yu,US,52,78621.5899999999,15843,52,78621.59,15843,7,36,
705,6,A Torre Negra,Big Picture 2 Films,Nikolaj Arcel,US,61,63215.81,11791,166,424615.230000003,79300,21,36,-0.5630929512587586
706,7,Baby Driver - Alta Velocidade,Big Picture 2 Films,Edgar Wright,"US, GB",40,57021.87,10762,180,742214.14,141966,35,36,-0.4519958536801951
707,8,Um Voo em Grande,NOS Lusomundo Audiovisuais,"Toby Genkel, Reza Memari","US, DE, BE, LU, NO",52,50567.6499999999,10320,87,168628.880000001,35078,14,36,-0.5644362417257782
708,9,Índice Médio de Felicidade,Big Picture 2 Films,Joaquim Leitão,PT,42,26652.4,4958,44,26652.4,5863,7,36,
709,10,De Braços Abertos,NOS Lusomundo Audiovisuais,Philippe de Chauveron,"FR, BE",18,26179.47,4959,90,366323.550000003,68962,35,36,-0.5263406432380863
710,11,Baywatch: Marés Vivas,NOS Lusomundo Audiovisuais,Seth Gordon,US,25,18758.56,3532,226,1468397.38999997,287744,49,36,-0.7346198186589887
711,12,Gru - O Maldisposto 3,NOS Lusomundo Audiovisuais,"Pierre Coffin, Kyle Balda",US,25,16296.74,3280,341,2840138.92000012,583082,70,36,-0.6230628958631319
712,13,Carros 3,NOS Lusomundo Audiovisuais,Brian Fee,US,32,15862.79,3278,295,1208445.17999999,249107,49,36,-0.6468957107600624
713,14,Inhumans,NOS Lusomundo Audiovisuais,Scott Buck,US,2,12925.5,1511,2,12925.5,1511,7,36,
714,15,Dunkirk,NOS Lusomundo Audiovisuais,Christopher Nolan,"US, FR, NL, GB",13,12523.23,2352,224,963065.409999993,167613,49,36,-0.5149234884583891
715,16,Alibi.com,NOS Lusomundo Audiovisuais,Philippe Lacheau,FR,24,12354.54,2390,42,48599.13,9311,14,36,-0.6557601783705134
716,17,Atomic Blonde - Agente Especial,NOS Lusomundo Audiovisuais,David Leitch,"US, DE, SE",26,12344.92,2418,206,374160.070000004,69294,28,36,-0.7417522303170825
717,18,Wind River,NOS Lusomundo Audiovisuais,Taylor Sheridan,"US, CA, GB",11,11009.46,2153,38,78049.7399999996,15000,21,36,-0.43299512228283965
718,19,Kill Switch - Tempo Limite,NOS Lusomundo Audiovisuais,Tim Smit,"US, DE, NL",10,6881.88,1305,10,6881.88,1305,7,36,
719,20,Valerian e a Cidade dos Mil Planetas,NOS Lusomundo Audiovisuais,Luc Besson,"US, FR",13,6470.02,1177,232,596764.959999997,108228,42,36,-0.6235491121430345
720,1,Barry Seal: Traficante Americano,NOS Lusomundo Audiovisuais,Doug Liman,US,80,187797.55,35051,130,486942.640000003,91658,14,37,-0.35465746314188895
721,2,O Guarda-Costas e o Assassino,NOS Lusomundo Audiovisuais,Patrick Hughes,"US, NL, BG, CN",75,124996.27,22886,193,822507.799999995,154375,21,37,-0.44371287785261415
722,3,Renegados,NOS Lusomundo Audiovisuais,Steven Quale,"FR, DE",58,115246.76,21570,58,115246.76,21570,7,37,
723,4,Bigfoot Junior,Cinemundo,"Ben Stassen, Jeremy Degruson","FR, BE",53,92567.2599999999,18540,53,92567.2599999999,18540,7,37,
724,5,Emoji: O Filme,Big Picture 2 Films,Tony Leondis,US,69,86881.3899999999,17101,197,1439216.59999999,290570,35,37,-0.4635653195094127
725,6,Sorte à Logan,NOS Lusomundo Audiovisuais,Steven Soderbergh,US,66,85769.0499999999,16395,66,85769.0499999998,16395,7,37,
726,7,Annabelle 2: A Criação do Mal,NOS Lusomundo Audiovisuais,David F. Sandberg,US,42,65506.51,12025,168,953998.479999999,177901,35,37,-0.43230896516915984
727,8,Dia de Surf 2,Pris Audiovisuais,Henry Yu,US,55,39214.28,7831,97,119638.92,24067,14,37,-0.5012275890121269
728,9,A Torre Negra,Big Picture 2 Films,Nikolaj Arcel,US,42,29418.35,5489,192,454480.580000004,84873,28,37,-0.5346361930662599
729,10,Baby Driver - Alta Velocidade,Big Picture 2 Films,Edgar Wright,"US, GB",25,23798.96,4541,193,766576.339999999,146632,42,37,-0.5826345225086444
730,11,Um Voo em Grande,NOS Lusomundo Audiovisuais,"Toby Genkel, Reza Memari","US, DE, BE, LU, NO",44,19760.25,4045,111,188838.330000001,39245,21,37,-0.6092313959616467
731,12,De Braços Abertos,NOS Lusomundo Audiovisuais,Philippe de Chauveron,"FR, BE",17,15873.9,2903,98,384307.590000004,72215,42,37,-0.39365082639182536
732,13,Os Crimes de Limehouse,NOS Lusomundo Audiovisuais,Juan Carlos Medina,GB,13,14620.83,2733,13,14620.83,2733,7,37,
733,14,Una - Negra Sedução,Pris Audiovisuais,Benedict Andrews,"US, CA, GB",11,14497.49,2793,11,14497.49,2793,7,37,
734,15,9/11,NOS Lusomundo Audiovisuais,Martin Guigui,US,11,13628.11,2560,11,13628.11,2560,7,37,
735,16,Índice Médio de Felicidade,Big Picture 2 Films,Joaquim Leitão,PT,42,12151.03,2254,74,39719.75,8275,14,37,-0.5440924644684906
736,17,A Viagem a Espanha,Alambique,Michael Winterbottom,GB,10,9556.81,1838,10,9556.81,1838,7,37,
737,18,Dunkirk,NOS Lusomundo Audiovisuais,Christopher Nolan,"US, FR, NL, GB",10,8891.89,1680,230,973566.499999992,169558,56,37,-0.2899683228687807
738,19,Gru - O Maldisposto 3,NOS Lusomundo Audiovisuais,"Pierre Coffin, Kyle Balda",US,24,8035.36,1734,348,2848988.08000013,585127,77,37,-0.5069345157375034
739,20,Carros 3,NOS Lusomundo Audiovisuais,Brian Fee,US,24,5862.65,1214,304,1214732.92999999,250408,56,37,-0.6304149522246718
740,1,It,NOS Lusomundo Audiovisuais,Andy Muschietti,US,89,493226.580000001,87830,89,493226.580000001,87830,7,38,
741,2,Barry Seal: Traficante Americano,NOS Lusomundo Audiovisuais,Doug Liman,US,75,117851.36,21851,162,606760.450000001,113898,21,38,-0.37245528495978775
742,3,Assassino Americano,Pris Audiovisuais,Michael Cuesta,US,58,94023.2099999999,17709,58,94023.2099999997,17709,7,38,
743,4,O Guarda-Costas e o Assassino,NOS Lusomundo Audiovisuais,Patrick Hughes,"US, NL, BG, CN",55,62070.8099999999,11591,214,885628.909999994,166167,28,38,-0.5034187020140689
744,5,Bigfoot Junior,Cinemundo,"Ben Stassen, Jeremy Degruson","FR, BE",55,59628.59,12089,70,153027.9,30795,14,38,-0.35583498960647575
745,6,Renegados,NOS Lusomundo Audiovisuais,Steven Quale,"FR, DE",57,48886.4599999999,9092,96,164535.27,30756,14,38,-0.5758105477325358
746,7,Sorte à Logan,NOS Lusomundo Audiovisuais,Steven Soderbergh,US,57,37845.66,7165,116,124300.96,23717,14,38,-0.5587492224759392
747,8,Emoji: O Filme,Big Picture 2 Films,Tony Leondis,US,57,35119.97,7193,216,1476580.91999999,298232,42,38,-0.5957710851541389
748,9,First Kill - Caça ao Homem,Cinemundo,Steven C. Miller,US,17,19677.57,3743,17,19677.57,3743,7,38,
